tooltip_id,label,object,property
"key_item","ITEM","key_item.002","/controls/shuttle/button_key_item.002-ss"
"key_1","1","key_1.002","/controls/shuttle/button_key_1.002-ss"
"key_2","2","key_2.002","/controls/shuttle/button_key_2.002-ss"
"key_3","3","key_3.002","/controls/shuttle/button_key_3.002-ss"
"key_exec","EXEC","key_exec.002","/controls/shuttle/button_key_exec.002-ss"
"key_4","4","key_4.002","/controls/shuttle/button_key_4.002-ss"
"key_5","5","key_5.002","/controls/shuttle/button_key_5.002-ss"
"key_6","6","key_6.002","/controls/shuttle/button_key_6.002-ss"
"key_ops","OPS","key_ops.002","/controls/shuttle/button_key_ops.002-ss"
"key_7","7","key_7.002","/controls/shuttle/button_key_7.002-ss"
"key_8","8","key_8.002","/controls/shuttle/button_key_8.002-ss"
"key_9","9","key_9.002","/controls/shuttle/button_key_9.002-ss"
"key_spec","SPEC","key_spec.002","/controls/shuttle/button_key_spec.002-ss"
"key_-","-","key_-.002","/controls/shuttle/button_key_-.002-ss"
"key_0","0","key_0.002","/controls/shuttle/button_key_0.002-ss"
"key_plus","+","key_plus.002","/controls/shuttle/button_key_plus.002-ss"
"key_rsm","RSM","key_rsm.002","/controls/shuttle/button_key_rsm.002-ss"
"key_clear","CLEAR","key_clear.002","/controls/shuttle/button_key_clear.002-ss"
"key_.",".","key_..002","/controls/shuttle/button_key_..002-ss"
"key_pro","PRO","key_pro.002","/controls/shuttle/button_key_pro.002-ss"
"ku-ant-ds","KU Antenna Direct Stow: %s","ku-ant-ds","/fdm/jsbsim/systems/mechanical/ku-antenna-direct-stow-switch"
"ku-ant-deploy","KU Antenna Deploy: %s","ku-ant-deploy","/fdm/jsbsim/systems/mechanical/ku-antenna-deploy-switch"
"pb-door-enable-sys1","Payload Bay Mechanical Power Sys 1: %s","pb-door-pwr-sys1","/fdm/jsbsim/systems/mechanical/pb-mechanical-sys1-pwr"
"pb-door-enable-sys2","Payload Bay Mechanical Power Sys 2: %s","pb-door-pwr-sys2","/fdm/jsbsim/systems/mechanical/pb-mechanical-sys2-pwr"
"pb-door-enable-sys1","Payload Bay Door Enable Sys 1: %s","pb-door-enable-sys1","/fdm/jsbsim/systems/mechanical/pb-door-sys1-enable"
"pb-door-enable-sys2","Payload Bay Door Enable Sys 2: %s","pb-door-enable-sys2","/fdm/jsbsim/systems/mechanical/pb-door-sys2-enable"
"pb-door-auto","Payload Bay Door Activate: %s","pb-door-auto","/fdm/jsbsim/systems/mechanical/pb-door-auto-switch"
"O4-light-knob","Light Brightness: %3d%%","O4-light-knob","/fdm/jsbsim/systems/light/cabinlight5-intensity"
"O6-light-switch","O6 Light Mode: %s","O6-light-switch","/fdm/jsbsim/systems/light/cabinlight6-mode"
"O6-light-knob","Light Brightness: %3d%%","O6-light-knob","/fdm/jsbsim/systems/light/cabinlight36r-intensity"
"O6-light-glare-switch","Left Glareshield Mode: %s","O6-light-glare-switch","/fdm/jsbsim/systems/light/cabinlight1-mode"
"O6-light-glare-knob","Light Brightness: %3d%%","O6-light-glare-knob","/fdm/jsbsim/systems/light/cabinlight1r-intensity"
"O6-light-panel-lc-knob","Panel Brightness: %3d%%","O6-light-panel-lc-knob","/fdm/jsbsim/systems/light/console-eff-norm-panel-left"
"O6-light-panel-ov-knob","Panel Brightness: %3d%%","O6-light-panel-ov-knob","/fdm/jsbsim/systems/light/console-eff-norm-overhead-left"
"O6-light-instr-lc-knob","Panel Brightness: %3d%%","O6-light-instr-lc-knob","/fdm/jsbsim/systems/light/console-eff-norm-inst-left"
"O6-light-instr-ov-knob","Instrument Brightness: %3d%%","O6-light-instr-ov-knob","/fdm/jsbsim/systems/light/console-eff-norm-instrument-overhead"
"O8-light-switch","O8 Light Mode: %s","O8-light-switch","/fdm/jsbsim/systems/light/cabinlight8-mode"
"O8-light-knob","Light Brightness: %3d%%","O8-light-knob","/fdm/jsbsim/systems/light/cabinlight47r-intensity"
"O8-light-glare-switch","Right Glareshield Mode: %s","O8-light-glare-switch","/fdm/jsbsim/systems/light/cabinlight2-mode"
"O8-light-glare-knob","Light Brightness: %3d%%","O8-light-glare-knob","/fdm/jsbsim/systems/light/cabinlight2r-intensity"
"O8-light-panel-r-knob","Panel Brightness: %3d%%","O8-light-panel-r-knob","/fdm/jsbsim/systems/light/console-eff-norm-panel-right"
"O8-light-panel-ov-knob","Panel Brightness: %3d%%","O8-light-panel-ov-knob","/fdm/jsbsim/systems/light/console-eff-norm-overhead-right"
"O8-light-instr-r-knob","Instrument Brightness: %3d%%","O8-light-instr-r-knob","/fdm/jsbsim/systems/light/console-eff-norm-instrument-right"
"O8-light-instr-num-knob","Instrument Brightness: %3d%%","O8-light-instr-num-knob","/fdm/jsbsim/systems/light/console-eff-numeric-intensity"
"O10-light-knob","Light Brightness: %3d%%","O10-light-knob","/fdm/jsbsim/systems/light/cabinlight8-intensity"
"crt1-pwr"," IDP CRT 1 Power: %s","crt1-pwr","/fdm/jsbsim/systems/dps/idp-power-status"
"crt1-maj-func","CRT1 Major Function Mode: %s","crt1-maj-func","/fdm/jsbsim/systems/dps/idp-function-switch"
"crt2-pwr"," IDP CRT 2 Power: %s","crt2-pwr","/fdm/jsbsim/systems/dps/idp-power-status[1]"
"crt2-maj-func","CRT2 Major Function Mode: %s","crt2-maj-func","/fdm/jsbsim/systems/dps/idp-function-switch[1]"
"crt3-pwr"," IDP CRT 3 Power: %s","crt3-pwr","/fdm/jsbsim/systems/dps/idp-power-status[2]"
"crt3-maj-func","CRT3 Major Function Mode: %s","crt3-maj-func","/fdm/jsbsim/systems/dps/idp-function-switch[2]"
"crtl-sel"," IDP Left CRT Select: %s","crtl-sel","/fdm/jsbsim/systems/dps/crtl-sel"
